Reference	Sort key	Description
TNA, SP 28/1A	TNA SP 028 001A	Parliamentarian pay warrants signed by generals and/or committees: 1642 Aug-Sept JL. 1 box, 1 bound volume, folios 1-316.
TNA, SP 28/1B	TNA SP 028 001B	Parliamentarian pay warrants signed by generals and/or committees: 1642 Aug-Sept JL. 1 box, 3 bound volumes, folios 317-689.
TNA, SP 28/1C	TNA SP 028 001C	Parliamentarian pay warrants signed by generals and/or committees: 1642 Aug-Sept JL. 1 box, 3 bound volumes, folios 1-307.
TNA, SP 28/1D	TNA SP 028 001D	Parliamentarian pay warrants signed by generals and/or committees: 1642 Aug-Sept JL. 1 box, 3 bound volumes, folios 308-711.
TNA, SP 28/2A	TNA SP 028 002A	Parliamentarian pay warrants signed by generals and/or committees: 1642 Oct JL. 1 box, 2 bound volumes, folios 1-306.
TNA, SP 28/2B	TNA SP 028 002B	Parliamentarian pay warrants signed by generals and/or committees: 1642 Oct JL. 1 box, 4 bound volumes, folios 307-701.
TNA, SP 28/3A	TNA SP 028 003A	Parliamentarian pay warrants signed by generals and/or committees: 1642 Nov JL. 1 box, 3 bound volumes, folios 1-295.
TNA, SP 28/3B	TNA SP 028 003B	Parliamentarian pay warrants signed by generals and/or committees: 1642 Nov JL. 1 box, 2 bound volumes, folios 296-518.
TNA, SP 28/4	TNA SP 028 004	Parliamentarian pay warrants signed by generals and/or committees: 1642 Dec JL, and undated. 1 box, 1 bound volume, folios 1-377.
TNA, SP 28/5	TNA SP 028 005	Parliamentarian pay warrants signed by generals and/or committees: 1643 Jan-Mar JL. 1 box, 1 bound volume, folios 1-397.
TNA, SP 28/6	TNA SP 028 006	Parliamentarian pay warrants signed by generals and/or committees: 1643 Mar-Apr JL. 1 box, 3 bound volumes, folios 1-475
TNA, SP 28/7	TNA SP 028 007	Parliamentarian pay warrants signed by generals and/or committees: 1643 May-June JL. 1 box, 1 bound volume, folios 1-543.
TNA, SP 28/8	TNA SP 028 008	Parliamentarian pay warrants signed by generals and/or committees: 1643 July JL. 1 box, 3 bound volumes, folios 1-248.
TNA, SP 28/9	TNA SP 028 009	Parliamentarian pay warrants signed by generals and/or committees: 1643 Aug JL. 1 box, 1 bound volume, folios 1-395.
TNA, SP 28/10	TNA SP 028 010	Parliamentarian pay warrants signed by generals and/or committees: 1643 Sept-Oct JL. 1 box, 1 bound volume, folios 1-385.
TNA, SP 28/11	TNA SP 028 011	Parliamentarian pay warrants signed by generals and/or committees: 1643 Nov-Dec JL, and undated. 1 box, 3 bound volumes, folios 1-420.
TNA, SP 28/12	TNA SP 028 012	Parliamentarian pay warrants signed by generals and/or committees: 1644 Jan-Feb JL. 1 box, 3 bound volumes, folios 1-356.
TNA, SP 28/13	TNA SP 028 013	Parliamentarian pay warrants signed by generals and/or committees: 1644 Mar JL. 1 box, 2 bound volumes, folios 1-243.
TNA, SP 28/14	TNA SP 028 014	Parliamentarian pay warrants signed by generals and/or committees: 1644 Apr JL. 1 box, 3 bound volumes, folios 1-388.
TNA, SP 28/15	TNA SP 028 015	Parliamentarian pay warrants signed by generals and/or committees: 1644 May JL. 1 box, 3 bound volumes, folios 1-350.
TNA, SP 28/16	TNA SP 028 016	Parliamentarian pay warrants signed by generals and/or committees: 1644 June JL. 1 box, 2 bound volumes, folios 1-237.
TNA, SP 28/17	TNA SP 028 017	Parliamentarian pay warrants signed by generals and/or committees: 1644 July-Aug JL. 1 box, 3 bound volumes, folios 1-518.
TNA, SP 28/18	TNA SP 028 018	Parliamentarian pay warrants signed by generals and/or committees: 1644 Sept JL. 1 box, 3 bound volumes, folios 1-434.
TNA, SP 28/19	TNA SP 028 019	Parliamentarian pay warrants signed by generals and/or committees: 1644 Oct JL. 1 box, 3 bound volumes, folios 1-464.
TNA, SP 28/20	TNA SP 028 020	Parliamentarian pay warrants signed by generals and/or committees: 1644 Nov JL. 1 box, 3 bound volumes, folios 1-407.
TNA, SP 28/21	TNA SP 028 021	Parliamentarian pay warrants signed by generals and/or committees: 1644 Dec JL. 1 box, 2 bound volumes, folios 1-309.
TNA, SP 28/22	TNA SP 028 022	Parliamentarian pay warrants signed by generals and/or committees: undated. 1 box, 2 bound volumes, folios 1-394.
TNA, SP 28/23	TNA SP 028 023	Parliamentarian pay warrants signed by Earl of Manchester and Eastern Association committee: 1644 JL. 1 box, 3 bound volumes, folios 1-480.
TNA, SP 28/24	TNA SP 028 024	Parliamentarian pay warrants signed by Earl of Manchester and Eastern Association committee: 1644 JL. 1 box, 5 bound volumes, folios 1-649.
TNA, SP 28/25	TNA SP 028 025	Parliamentarian pay warrants signed by Earl of Manchester and Eastern Association committee: 1644 JL. 1 box, 4 bound volumes, folios 1-575.
TNA, SP 28/26	TNA SP 028 026	Parliamentarian pay warrants signed by Earl of Manchester and Eastern Association committee: 1644 JL. 2 boxes, 6 bound volumes, folios 1-863.
TNA, SP 28/27	TNA SP 028 027	Parliamentarian pay warrants signed by generals and/or committees: 1645 Jan JL. 1 box, 3 bound volumes, folios 1-487.
TNA, SP 28/28	TNA SP 028 028	Parliamentarian pay warrants signed by generals and/or committees: 1645 Feb-Mar JL. 1 box, 4 bound volumes, folios 1-463.
TNA, SP 28/29	TNA SP 028 029	Parliamentarian pay warrants signed by generals and/or committees: 1645 Apr JL. 1 box, 2 bound volumes, folios 1-478.
TNA, SP 28/30	TNA SP 028 030	Parliamentarian pay warrants signed by generals and/or committees: 1645 May-June JL. 2 boxes, 7 bound volumes, folios 1-775.
TNA, SP 28/31	TNA SP 028 031	Parliamentarian pay warrants signed by generals and/or committees: 1645 July-Aug JL. 2 boxes, 6 bound volumes, folios 1-662.
TNA, SP 28/32	TNA SP 028 032	Parliamentarian pay warrants signed by generals and/or committees: 1645 Sept-Oct JL. 1 box, 3 bound volumes, folios 1-414.
TNA, SP 28/33	TNA SP 028 033	Parliamentarian pay warrants signed by generals and/or committees: 1645 Nov-Dec JL. 1 box, 5 bound volumes, folios 1-626.
TNA, SP 28/34	TNA SP 028 034	Parliamentarian pay warrants signed by generals and/or committees: 1645 JL. 1 box, 4 bound volumes, folios 1-581.
TNA, SP 28/35	TNA SP 028 035	Parliamentarian pay warrants signed by generals and/or committees: 1645 JL. 2 boxes, 5 bound volumes, folios 1-800.
TNA, SP 28/36	TNA SP 028 036	Parliamentarian pay warrants signed by generals and/or committees: 1646 Jan-Feb JL. 2 boxes, 6 bound volumes, folios 1-709.
TNA, SP 28/37	TNA SP 028 037	Parliamentarian pay warrants signed by generals and/or committees: 1646 Mar-Apr JL. 1 box, 6 bound volumes, folios 1-730.
TNA, SP 28/38	TNA SP 028 038	Parliamentarian pay warrants signed by generals and/or committees: 1646 May-June JL. 1 box, 6 bound volumes, folios 1-627.
TNA, SP 28/39	TNA SP 028 039	Parliamentarian pay warrants signed by generals and/or committees: 1646 July-Aug JL. 1 box, 5 bound volumes, folios 1-593.
TNA, SP 28/40	TNA SP 028 040	Parliamentarian pay warrants signed by generals and/or committees: 1646 Sept-Oct JL. 1 box, 2 bound volumes, folios 1-317.
TNA, SP 28/41	TNA SP 028 041	Parliamentarian pay warrants signed by generals and/or committees: 1646 Nov-Dec JL. 1 box, 6 bound volumes, folios 1-661.
TNA, SP 28/42	TNA SP 028 042	Parliamentarian pay warrants signed by generals and/or committees: 1646 JL. 2 boxes, 8 bound volumes, folios 1-1075.
TNA, SP 28/43	TNA SP 028 043	Parliamentarian pay warrants signed by generals and/or committees: 1646 JL. 2 boxes, 7 bound volumes, folios 1-978.
TNA, SP 28/44	TNA SP 028 044	Parliamentarian pay warrants signed by generals and/or committees: 1647 Jan-Feb JL. 1 box, 4 bound volumes, folios 1-494.
TNA, SP 28/45	TNA SP 028 045	Parliamentarian pay warrants signed by generals and/or committees: 1647 Mar-Apr JL. 1 box, 4 bound volumes, folios 1-497.
TNA, SP 28/46	TNA SP 028 046	Parliamentarian pay warrants signed by generals and/or committees: 1647 May-June JL. 1 box, 4 bound volumes, folios 1-402.
TNA, SP 28/47	TNA SP 028 047	Parliamentarian pay warrants signed by generals and/or committees: 1647 July-Aug JL. 1 box, 5 bound volumes, folios 1-571.
TNA, SP 28/48	TNA SP 028 048	Parliamentarian pay warrants signed by generals and/or committees: 1647 Sept-Nov JL. 1 box, 4 bound volumes, folios 1-488.
TNA, SP 28/49	TNA SP 028 049	Parliamentarian pay warrants signed by generals and/or committees: 1647 Dec JL, and misc. 1 box, 4 bound volumes, folios 1-571.
TNA, SP 28/50	TNA SP 028 050	Parliamentarian pay warrants signed by generals and/or committees: 1648 Jan JL. 1 box, 3 bound volumes, folios 1-448.
TNA, SP 28/51	TNA SP 028 051	Parliamentarian pay warrants signed by generals and/or committees: 1648 Feb JL. 1 box, 3 bound volumes, folios 1-436.
TNA, SP 28/52	TNA SP 028 052	Parliamentarian pay warrants signed by generals and/or committees: 1648 Mar JL. 1 box, 3 volumes, folios 1-484.
TNA, SP 28/53	TNA SP 028 053	Parliamentarian pay warrants signed by generals and/or committees: 1648 Apr JL. 1 box, 3 bound volumes, folios 1-466.
TNA, SP 28/54	TNA SP 028 054	Parliamentarian pay warrants signed by generals and/or committees: 1648 May-June JL. 1 box, 5 bound volumes, folios 1-796.
TNA, SP 28/55	TNA SP 028 055	Parliamentarian pay warrants signed by generals and/or committees: 1648 July-Sept JL. 1 box, 3 bound volumes, folios 1-586.
TNA, SP 28/56	TNA SP 028 056	Parliamentarian pay warrants signed by generals and/or committees: 1648 Oct-Nov JL. 1 box, 3 bound volumes, folios 1-511.
TNA, SP 28/57	TNA SP 028 057	Parliamentarian pay warrants signed by generals and/or committees: 1648 Dec JL, and misc. 1 box, 6 bound volumes, folios 1-914.
