UnitID	Hundred	Parish	Township	PlaceName	VCH	Youngs	VoB	Status	Ref	OtherSources	Goodwin	Grenville	Tyrrill	Notes
1	Ashendon	Ashendon with Pollicott		Ashendon with Pollicott	https://www.british-history.ac.uk/vch/bucks/vol4/pp3-7	30	10157020	extant	TNA, SP 28/150/1, ff. 88-91; TNA, SP 28/151 (unfol.)			224v		
2	Ashendon	Aston Sanford		Aston Sanford	https://www.british-history.ac.uk/vch/bucks/vol4/pp8-9	31	10115620	extant	TNA, SP 28/150/2, ff. 191-194			224r	275r	
3	Ashendon	Beckley (Oxfordshire)	Studley	Studley		31, 406	10351406	no trace						
4	Ashendon	Bierton with Broughton	Quarrendon	Quarrendon	https://www.british-history.ac.uk/vch/bucks/vol4/pp100-102	39	10065562	lost			205r	224r		
5	Ashendon	Chearsley		Chearsley	https://www.british-history.ac.uk/vch/bucks/vol4/pp19-22	33	10008852	lost				224v	276r	
6	Ashendon	Chilton	Dorton	Dorton	https://www.british-history.ac.uk/vch/bucks/vol4/pp45-48	34	10009157	lost					276r	
7	Ashendon	Chilton		Chilton	https://www.british-history.ac.uk/vch/bucks/vol4/pp22-27	33	10157110	extant	TNA, SP 28/150/2, ff. 233-236					
8	Ashendon	East Claydon		East Claydon	https://www.british-history.ac.uk/vch/bucks/vol4/pp28-32	33	10045988	lost				223v	276r	
9	Ashendon	Fleet Marston		Fleet Marston	https://www.british-history.ac.uk/vch/bucks/vol4/pp74-76	38	10116831	extant	TNA, SP 28/150/1, ff. 17-20			223v		
10	Ashendon	Grandborough		Grandborough	https://www.british-history.ac.uk/vch/bucks/vol4/pp48-50	34	10176888	lost			205r	224v	276r	
11	Ashendon	Grendon Underwood		Grendon Underwood	https://www.british-history.ac.uk/vch/bucks/vol4/pp50-54	35	10009340	extant	TNA, SP 28/150/1, ff. 21-28			223v		
12	Ashendon	Hogshaw		Hogshaw	https://www.british-history.ac.uk/vch/bucks/vol4/pp54-56	36	10205906	no trace						
13	Ashendon	Ickford		Ickford	https://www.british-history.ac.uk/vch/bucks/vol4/pp56-61	36	10116650	extant	TNA, SP 28/39/5, ff. 591-592		206r	224r		
14	Ashendon	Ilmer		Ilmer	https://www.british-history.ac.uk/vch/bucks/vol4/pp61-63	36	10209377	lost			205r		276r	
15	Ashendon	Kingsey		Kingsey	https://www.british-history.ac.uk/vch/bucks/vol4/pp63-68	36	10047389	lost					276r	
16	Ashendon	Long Crendon	Lower Winchendon	Lower Winchendon	https://www.british-history.ac.uk/vch/bucks/vol4/pp118-122	42	10158278	lost			205r	224v	276r	
17	Ashendon	Long Crendon		Long Crendon	https://www.british-history.ac.uk/vch/bucks/vol4/pp36-45	33	10009110	extant	TNA, SP 28/150/2, ff. 214-221			223v, 224r, 227v	276r	
18	Ashendon	Ludgershall	Kingswood	Kingswood	https://www.british-history.ac.uk/vch/bucks/vol4/pp68-73	36	10082274	no trace						
19	Ashendon	Ludgershall		Ludgershall	https://www.british-history.ac.uk/vch/bucks/vol4/pp68-73	37	10009741	lost				223v	276r	
20	Ashendon	Middle Claydon		Middle Claydon	https://www.british-history.ac.uk/vch/bucks/vol4/pp32-35	33	10115796	extant	TNA, SP 28/150/2, ff. 237-240	Protestation return and collection for Irish protestants (not in Gibson and Dell): TNA, SP 28/148/1, f. 51		224v		
21	Ashendon	North Marston		North Marston	https://www.british-history.ac.uk/vch/bucks/vol4/pp76-80	38	10116843	extant	TNA, SP 28/221 (unfol.)			224v		
22	Ashendon	Oakley	Boarstall	Boarstall	https://www.british-history.ac.uk/vch/bucks/vol4/pp9-14	31	10208269	lost				224r, 231v		
23	Ashendon	Oakley	Brill	Brill	https://www.british-history.ac.uk/vch/bucks/vol4/pp14-19	32	10176608	extant	TNA, SP 28/39/5, ff. 462-463					
24	Ashendon	Oakley		Oakley	https://www.british-history.ac.uk/vch/bucks/vol4/pp80-85	38	10046543	lost			205r	224v		
25	Ashendon	Oving		Oving	https://www.british-history.ac.uk/vch/bucks/vol4/pp85-89	39	10116922	extant	TNA, SP 28/151 (unfol.)	Constable's account: TNA, SP 28/151 (unfol., order 59).	204r		275r	
26	Ashendon	Pitchcott		Pitchcott	https://www.british-history.ac.uk/vch/bucks/vol4/pp89-91	39	10009856	extant	TNA, SP 28/196/1, ff. 129-130			223v		
27	Ashendon	Quainton	Shipton Lee	Shipton Lee	https://www.british-history.ac.uk/vch/bucks/vol4/pp92-99	40	10104695	no trace						
28	Ashendon	Quainton		Quainton	https://www.british-history.ac.uk/vch/bucks/vol4/pp92-99	39	10116960	lost				223v		
29	Ashendon	Shabbington		Shabbington	https://www.british-history.ac.uk/vch/bucks/vol4/pp102-104	39	10009923	lost			206r			
30	Ashendon	Thame (Oxfordshire)	Towersey	Towersey	https://www.british-history.ac.uk/vch/bucks/vol4/pp105-107	41	10031527	extant	TNA, SP 28/221 (unfol.)			224r	275r	
31	Ashendon	Upper Winchendon		Upper Winchendon	https://www.british-history.ac.uk/vch/bucks/vol4/pp122-125	42	10010779	lost			205r			
32	Ashendon	Waddesdon	Westcott	Westcott	https://www.british-history.ac.uk/vch/bucks/vol4/pp107-118	42	10158254	extant	TNA, SP 28/150/2, ff. 185-190			224r		
33	Ashendon	Waddesdon	Woodham	Woodham	https://www.british-history.ac.uk/vch/bucks/vol4/pp107-118	43	10118062	lost				224v		
34	Ashendon	Waddesdon		Waddesdon	https://www.british-history.ac.uk/vch/bucks/vol4/pp107-118	41	10206509	extant	TNA, SP 28/150/1, ff. 11-16, 30-42; TNA, SP 28/148/1, ff. 67-68		206r	223v	276r	
35	Ashendon	Worminghall		Worminghall	https://www.british-history.ac.uk/vch/bucks/vol4/pp125-130	43	10047080	extant	TNA, SP 28/149/1, f. 6		206r			SP 28/219/4 DocID 97 includes several individual accounts, some from Great Missenden, some unidentified.
36	Ashendon	Wotton Underwood		Wotton Underwood	https://www.british-history.ac.uk/vch/bucks/vol4/pp130-134	43	10195238	lost				224v		
37	Aylesbury	Aston Clinton		Aston Clinton	https://www.british-history.ac.uk/vch/bucks/vol2/pp312-319	31	10083618	extant	TNA, SP 28/150/2, ff. 196-203				268r	
38	Aylesbury	Aylesbury	Walton	Walton	https://www.british-history.ac.uk/vch/bucks/vol3/pp1-11	31	10046981	extant	TNA, SP 28/150/2, ff. 121-132, 275		203r	223r	270r, 273r	f. 275 is losses of Widow Sarch and her late husband Edmond when they lived in Walton, but accounted for after she moved to Stoke Mandeville.
39	Aylesbury	Aylesbury		Aylesbury	https://www.british-history.ac.uk/vch/bucks/vol3/pp1-11	31	10213356	lost		Tax account: TNA, SP 28/151 (unfol., order 61)	202r	222r	272r, 273r	
40	Aylesbury	Bierton with Broughton	Buckland	Buckland	https://www.british-history.ac.uk/vch/bucks/vol2/pp327-330	32	10115723	lost			200r		270r	
41	Aylesbury	Bierton with Broughton	Stoke Mandeville	Stoke Mandeville	https://www.british-history.ac.uk/vch/bucks/vol2/pp360-365	40	10212418	extant	TNA, SP 28/150/2, ff. 253-275				271r, 273r	Also includes losses of Widow Sarch and her late husband Edmond when they lived in Walton, Aylesbury (f. 275).
42	Aylesbury	Bierton with Broughton		Bierton with Broughton	https://www.british-history.ac.uk/vch/bucks/vol2/pp320-327	31	10082160	extant	TNA, SP 28/150/6, ff. 543-550		203r	222v	271r, 274r	
43	Aylesbury	Bledlow		Bledlow	https://www.british-history.ac.uk/vch/bucks/vol2/pp247-253	31	10115656	lost			203r	223r	271r, 273r	
44	Aylesbury	Dinton		Dinton	https://www.british-history.ac.uk/vch/bucks/vol2/pp271-281	34	10207710	extant	TNA, SP 28/151 (unfol.)		201r	222r	272r	
45	Aylesbury	Ellesborough		Ellesborough	https://www.british-history.ac.uk/vch/bucks/vol2/pp331-338	34	10086024	extant	TNA, SP 28/150/2, ff. 241-248		203r			
46	Aylesbury	Great Hampden		Great Hampden	https://www.british-history.ac.uk/vch/bucks/vol2/pp287-291	35	10093533	extant	TNA, SP 28/151 (unfol.)			222r, 228v	270r	
47	Aylesbury	Great Kimble		Great Kimble	https://www.british-history.ac.uk/vch/bucks/vol2/pp298-303	36	10086048	lost					275r	
48	Aylesbury	Great Missenden		Great Missenden	https://www.british-history.ac.uk/vch/bucks/vol2/pp347-353	38	10157687	extant	TNA, SP 28/150/6, ff. 582-593; TNA, SP 28/151 (unfol.); TNA, SP 28/219/4 (unfol.); TNA, SP 28/221 (unfol.)		204r	230r, 231v	271r, 274r	
49	Aylesbury	Haddenham	Cuddington	Cuddington	https://www.british-history.ac.uk/vch/bucks/vol2/pp267-271	33	10116089	lost			202r	223r		
50	Aylesbury	Haddenham		Haddenham	https://www.british-history.ac.uk/vch/bucks/vol2/pp281-286	35	10176890	extant	TNA, SP 28/151 (unfol.)	Tax account: TNA, SP 28/151 (unfol., order 60).	200r		268r	DocID 71 and 83 are two parts of same account separated and in wrong order.
51	Aylesbury	Halton		Halton	https://www.british-history.ac.uk/vch/bucks/vol2/pp339-341	35	10046257	lost			201r	222v		
52	Aylesbury	Hartwell	Little Hampden	Little Hampden	https://www.british-history.ac.uk/vch/bucks/vol2/pp291-293	35	10009376	no trace						
53	Aylesbury	Hartwell		Hartwell	https://www.british-history.ac.uk/vch/bucks/vol2/pp293-298	35	10009420	lost				222r	272r	
54	Aylesbury	Horsenden		Horsenden	https://www.british-history.ac.uk/vch/bucks/vol2/pp253-255	36	10116478	extant	TNA, SP 28/148/1, ff. 199-200		203r		273r	
55	Aylesbury	Hughenden	Brand's Fee	Brand's Fee	https://www.british-history.ac.uk/vch/bucks/vol3/pp57-62	none	12848407	no trace						See also part under Little Missenden.
56	Aylesbury	Hulcott		Hulcott	https://www.british-history.ac.uk/vch/bucks/vol2/pp342-344	36	10009613	no trace						
57	Aylesbury	Lee		Lee	https://www.british-history.ac.uk/vch/bucks/vol2/pp345-347	37	10009686	no trace						
58	Aylesbury	Little Kimble		Little Kimble	https://www.british-history.ac.uk/vch/bucks/vol2/pp303-307	36	10116703	no trace						
59	Aylesbury	Little Missenden	Brand's Fee	Brand's Fee		none	12848407	extant	TNA, SP 28/151 (unfol.)				274r	See also part under Hughenden.
60	Aylesbury	Little Missenden		Little Missenden	https://www.british-history.ac.uk/vch/bucks/vol2/pp354-360	38	10101372	extant	TNA, SP 28/151 (unfol.)		201r	222v		
61	Aylesbury	Monks Risborough		Monks Risborough	https://www.british-history.ac.uk/vch/bucks/vol2/pp256-260	39	10082298	extant	TNA, SP 28/151 (unfol.)		200r	222v	269r	
62	Aylesbury	Princes Risborough		Princes Risborough	https://www.british-history.ac.uk/vch/bucks/vol2/pp260-267	39	10177212	extant	TNA, SP 28/151 (unfol.)			223r	269r	
63	Aylesbury	Stone with Bishopstone		Stone with Bishopstone	https://www.british-history.ac.uk/vch/bucks/vol2/pp307-311	40	10046683	extant	TNA, SP 28/151 (unfol.)		202r	222v	273r	Duplicate VoB ID 10158709 giving different hundred to Youngs.
64	Aylesbury	Wendover		Wendover	https://www.british-history.ac.uk/vch/bucks/vol3/pp20-31	42	10117940	lost			204r	223r	274r	
65	Aylesbury	Weston Turville		Weston Turville	https://www.british-history.ac.uk/vch/bucks/vol2/pp365-372	42	10117951	extant	TNA, SP 28/150/2, ff. 171-184		201r, 203r	222r, 222v	270r, 273r	
66	Buckingham	Addington		Addington	https://www.british-history.ac.uk/vch/bucks/vol4/pp137-140	30	10101300	extant	TNA, SP 28/151 (unfol.)		209r	225r		
67	Buckingham	Adstock		Adstock	https://www.british-history.ac.uk/vch/bucks/vol4/pp140-144	30	10045885	extant	TNA, SP 28/151 (unfol.)			225r, 228v		
68	Buckingham	Akeley		Akeley	https://www.british-history.ac.uk/vch/bucks/vol4/pp144-147	30	10008724	no trace						
69	Buckingham	Barton Hartshorn		Barton Hartshorn	https://www.british-history.ac.uk/vch/bucks/vol4/pp147-149	31	10045915	no trace						
70	Buckingham	Beachampton		Beachampton	https://www.british-history.ac.uk/vch/bucks/vol4/pp149-153	31	10157043	extant	TNA, SP 28/151 (unfol.)					
71	Buckingham	Biddlesden		Biddlesden	https://www.british-history.ac.uk/vch/bucks/vol4/pp153-157	31	10008761	lost			209r			
72	Buckingham	Buckingham	Bourton	Bourton	https://www.british-history.ac.uk/vch/bucks/vol3/pp471-489	none		extant	TNA, SP 28/41/5, ff. 469-470					
73	Buckingham	Buckingham	Prebend End	Buckingham	https://www.british-history.ac.uk/vch/bucks/vol3/pp471-489	none		extant	TNA, SP 28/151 (unfol.)					
74	Buckingham	Buckingham		Buckingham	https://www.british-history.ac.uk/vch/bucks/vol3/pp471-489	32	10064995	extant	TNA, SP 28/151 (unfol.)					
75	Buckingham	Caversfield		Caversfield	https://www.british-history.ac.uk/vch/bucks/vol4/pp157-163	32	10323174	no trace						
76	Buckingham	Chetwode		Chetwode	https://www.british-history.ac.uk/vch/bucks/vol4/pp163-168	33	10046520	lost				225v	277r	
77	Buckingham	Edgcott		Edgcott	https://www.british-history.ac.uk/vch/bucks/vol4/pp168-170	34	10116144	no trace						
78	Buckingham	Foscott		Foscott	https://www.british-history.ac.uk/vch/bucks/vol4/pp170-172	34	10009297	no trace						
79	Buckingham	Hillesden		Hillesden	https://www.british-history.ac.uk/vch/bucks/vol4/pp173-180	35	10101359	lost					277r	
80	Buckingham	Leckhampstead		Leckhampstead	https://www.british-history.ac.uk/vch/bucks/vol4/pp180-187	37	10194672	no trace						
81	Buckingham	Lillingstone Dayrell		Lillingstone Dayrell	https://www.british-history.ac.uk/vch/bucks/vol4/pp187-191	37	10198653	no trace						
82	Buckingham	Luffield Abbey		Luffield Abbey	https://www.british-history.ac.uk/vch/bucks/vol4/pp197-198	38	10096420	no trace						Extra-parochial.
83	Buckingham	Maids Moreton		Maids Moreton	https://www.british-history.ac.uk/vch/bucks/vol4/pp198-205	38	10206479	extant	TNA, SP 28/151 (unfol.)		209r			
84	Buckingham	Marsh Gibbon		Marsh Gibbon	https://www.british-history.ac.uk/vch/bucks/vol4/pp205-209	38	10009765	extant	TNA, SP 28/151 (unfol.)	Account of constable, William Morris: TNA, SP 28/150/1, f. 102	209r			
85	Buckingham	Padbury		Padbury	https://www.british-history.ac.uk/vch/bucks/vol4/pp209-215	39	10217970	extant	TNA, SP 28/150/1, ff. 108-109					
86	Buckingham	Preston Bissett		Preston Bissett	https://www.british-history.ac.uk/vch/bucks/vol4/pp215-220	39	10215638	no trace						
87	Buckingham	Radclive-cum-Chackmore		Radclive-cum-Chackmore	https://www.british-history.ac.uk/vch/bucks/vol4/pp220-223	39	10009893	no trace						
88	Buckingham	Shalstone		Shalstone	https://www.british-history.ac.uk/vch/bucks/vol4/pp223-226	39	10117033	no trace						
89	Buckingham	Steeple Claydon		Steeple Claydon	https://www.british-history.ac.uk/vch/bucks/vol4/pp226-229	33	10115802	extant	TNA, SP 28/151 (unfol.)					
90	Buckingham	Stowe	Lamport	Lamport	https://www.british-history.ac.uk/vch/bucks/vol4/pp229-237	none		lost				225r		
91	Buckingham	Stowe		Stowe	https://www.british-history.ac.uk/vch/bucks/vol4/pp229-237	41	10010457	extant	TNA, SP 28/151 (unfol.)					
92	Buckingham	Stratton Audley		Stratton Audley		41	10351340	no trace						Part in Oxfordshire.
93	Buckingham	Thornborough		Thornborough	https://www.british-history.ac.uk/vch/bucks/vol4/pp237-242	41	10158114	no trace						
94	Buckingham	Thornton		Thornton	https://www.british-history.ac.uk/vch/bucks/vol4/pp243-249	41	10217532	no trace						
95	Buckingham	Tingewick		Tingewick	https://www.british-history.ac.uk/vch/bucks/vol4/pp249-251	41	10158126	no trace						
96	Buckingham	Turweston		Turweston	https://www.british-history.ac.uk/vch/bucks/vol4/pp251-254	41	10010585	extant	TNA, SP 28/151 (unfol.)					
97	Buckingham	Twyford	Charndon	Charndon	https://www.british-history.ac.uk/vch/bucks/vol4/pp254-259	32	10065008	no trace						
98	Buckingham	Twyford	Poundon	Poundon	https://www.british-history.ac.uk/vch/bucks/vol4/pp254-259	39	10009868	no trace						
99	Buckingham	Twyford		Twyford	https://www.british-history.ac.uk/vch/bucks/vol4/pp254-259	41	10010597	extant	TNA, SP 28/39/5, f. 543					
100	Buckingham	Water Stratford		Water Stratford	https://www.british-history.ac.uk/vch/bucks/vol4/pp260-263	41	10117665	extant	TNA, SP 28/43/7, ff. 929-930					
101	Buckingham	Westbury		Westbury	https://www.british-history.ac.uk/vch/bucks/vol4/pp263-267	42	10047020	extant	TNA, SP 28/151 (unfol.)					
102	Burnham	Amersham	Coleshill	Coleshill	https://www.british-history.ac.uk/vch/bucks/vol3/pp141-155	33	10209328	extant	TNA, SP 28/151 (unfol.); TNA, SP 28/196/1, ff. 125-128					
103	Burnham	Amersham		Amersham	https://www.british-history.ac.uk/vch/bucks/vol3/pp141-155	30	10176554	extant	TNA, SP 28/149/4, ff. 550-569		208r		277r	
104	Burnham	Beaconsfield		Beaconsfield	https://www.british-history.ac.uk/vch/bucks/vol3/pp155-165	31	10115644	extant	TNA, SP 28/151 (unfol.)		206r			
105	Burnham	Burnham	Boveney	Boveney	https://www.british-history.ac.uk/vch/bucks/vol3/pp165-184	31	10093508	extant	TNA, SP 28/149/4, ff. 570-575					
106	Burnham	Burnham	Cippenham	Cippenham	https://www.british-history.ac.uk/vch/bucks/vol3/pp165-184	none		extant	TNA, SP 28/150/2, ff. 249-252					
107	Burnham	Burnham		Burnham	https://www.british-history.ac.uk/vch/bucks/vol3/pp165-184	32	10082183	no trace		Constable's account: TNA, SP 28/151 (unfol., order 19).				
108	Burnham	Chalfont St Giles		Chalfont St Giles	https://www.british-history.ac.uk/vch/bucks/vol3/pp184-193	32	10099687	extant	TNA, SP 28/149/4, ff. 576-587		207r		277r	
109	Burnham	Chalfont St Peter		Chalfont St Peter	https://www.british-history.ac.uk/vch/bucks/vol3/pp193-198	32	10045964	extant	TNA, SP 28/151 (unfol.)		207r	225r		
110	Burnham	Chenies		Chenies	https://www.british-history.ac.uk/vch/bucks/vol3/pp199-203	33	10115759	extant	TNA, SP 28/149/4, ff. 595-599					
